Month,Category,Budgeted Amount (GBP),Actual Amount (GBP),Variance (GBP),Notes
2026-05,Cash Withdrawal,150.00,310.00,160.00,
2026-06,Cash Withdrawal,150.00,260.00,110.00,
2026-08,Cash Withdrawal,150.00,,,Proposed target going forward
2026-05,Clothing & Shopping,150.00,66.27,-83.73,
2026-06,Clothing & Shopping,150.00,420.33,270.33,
2026-08,Clothing & Shopping,150.00,,,Proposed target going forward
2026-05,Eating Out,150.00,219.31,69.31,
2026-06,Eating Out,150.00,192.17,42.17,
2026-08,Eating Out,150.00,,,Proposed target going forward
2026-05,Entertainment,30.00,39.97,9.97,
2026-06,Entertainment,30.00,6.95,-23.05,
2026-08,Entertainment,30.00,,,Proposed target going forward
2026-05,Fuel & Car,180.00,213.90,33.90,
2026-06,Fuel & Car,180.00,126.31,-53.69,
2026-08,Fuel & Car,180.00,,,Proposed target going forward
2026-05,Gifts,20.00,30.00,10.00,
2026-06,Gifts,20.00,0.00,-20.00,
2026-08,Gifts,20.00,,,Proposed target going forward
2026-05,Giving & Charity,30.00,20.00,-10.00,
2026-06,Giving & Charity,30.00,40.00,10.00,
2026-08,Giving & Charity,30.00,,,Proposed target going forward
2026-05,Groceries,140.00,154.95,14.95,
2026-06,Groceries,140.00,97.52,-42.48,
2026-08,Groceries,140.00,,,Proposed target going forward
2026-05,Health & Beauty,150.00,117.50,-32.50,
2026-06,Health & Beauty,150.00,301.32,151.32,
2026-08,Health & Beauty,150.00,,,Proposed target going forward
2026-05,Other Services,25.00,25.00,0.00,
2026-06,Other Services,25.00,22.30,-2.70,
2026-08,Other Services,25.00,,,Proposed target going forward
2026-05,Subscriptions,90.00,61.99,-28.01,EE mobile direct debit appears twice/month (~£47 + ~£42) - confirm this isn't a duplicate/error
2026-06,Subscriptions,90.00,159.81,69.81,EE mobile direct debit appears twice/month (~£47 + ~£42) - confirm this isn't a duplicate/error
2026-08,Subscriptions,90.00,,,Proposed target going forward
2026-05,Transport & Parking,20.00,11.83,-8.17,
2026-06,Transport & Parking,20.00,26.10,6.10,
2026-08,Transport & Parking,20.00,,,Proposed target going forward
2026-05,Savings (transfer out),2000.00,2500.00,500.00,"Treated as a budget line, not spending - 'pay yourself first'"
2026-06,Savings (transfer out),2000.00,2000.00,0.00,"Treated as a budget line, not spending - 'pay yourself first'"
2026-08,Savings (transfer out),2000.00,,,Proposed minimum monthly savings transfer
