Date,Amount Withdrawn (GBP),Where It Went (fill in),Category,Confirmed?,Notes
2026-05-12,90.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
2026-05-16,20.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
2026-05-17,30.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
2026-05-20,10.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
2026-05-29,160.00,,Health & Beauty (assumed - cash-only vendors),No,Withdrawn same day as salary - please fill in vendor
2026-06-17,100.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
2026-06-30,100.00,,Health & Beauty (assumed - cash-only vendors),No,Withdrawn same day as salary - please fill in vendor
2026-06-30,60.00,,Health & Beauty (assumed - cash-only vendors),No,Withdrawn same day as salary - please fill in vendor
2026-07-01,40.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
2026-07-02,70.00,,Health & Beauty (assumed - cash-only vendors),No,Please fill in vendor - hair/nails/other?
